C_max,model,seed,arm,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
4,ppo_c4_s5,5,ppo,2.2769707312681917,7.633338475445782,0.0,8.4,49.0,0.98,49,0,-0.6678616804749942,0,0.245,0,10000
4,ppo_c4_s5,5,ppo,2.2257788070194873,8.70508019085569,0.0,7.000000000000001,52.0,1.04,52,0,-0.7350451743511668,0,0.26,1,10001
4,ppo_c4_s5,5,ppo,2.2511929691480543,7.396252159223878,0.0,6.0,50.0,1.0,50,0,-0.6181115522691806,0,0.25,2,10002
4,ppo_c4_s5,5,ppo,2.1397931867816204,8.071501628544057,0.0,5.4,54.0,1.08,54,0,-0.6303316551155493,0,0.27,3,10003
4,ppo_c4_s5,5,ppo,2.260370639868225,7.66223502914266,0.0,6.6000000000000005,54.0,1.08,54,0,-0.6636227839757949,0,0.27,4,10004
4,ppo_c4_s5,5,ppo,2.2162824959412735,8.659326909104713,0.0,6.2,55.0,1.1,55,0,-0.7413352335319593,0,0.275,5,10005
4,ppo_c4_s5,5,ppo,2.2383447749341014,7.7268691915380865,0.0,6.6000000000000005,51.0,1.02,51,0,-0.7048790896681404,0,0.255,6,10006
4,ppo_c4_s5,5,ppo,2.2483804118108064,7.704103637026934,0.0,7.000000000000001,53.0,1.06,53,0,-0.6540762376114242,0,0.265,7,10007
4,ppo_c4_s5,5,ppo,2.231250234363415,7.8227546822326826,0.0,6.2,54.0,1.08,54,0,-0.7288914165043203,0,0.27,8,10008
4,ppo_c4_s5,5,ppo,2.145252962698494,6.822729129380763,0.0,6.2,56.0,1.12,56,0,-0.6595979261804583,0,0.28,9,10009
4,ppo_c4_s6,6,ppo,2.1594404175014024,7.533075931444496,0.0,5.4,55.0,1.1,55,0,-0.6644850535639566,0,0.275,0,10000
4,ppo_c4_s6,6,ppo,2.299238762924324,7.604321843490334,0.0,8.6,50.0,1.0,50,0,-0.7351899845886632,0,0.25,1,10001
4,ppo_c4_s6,6,ppo,2.21113609971742,8.090084403771442,0.0,8.799999999999999,53.0,1.06,53,0,-0.8047165039630175,0,0.265,2,10002
4,ppo_c4_s6,6,ppo,2.111481413371344,7.772602566573789,0.0,5.6000000000000005,54.0,1.08,54,0,-0.6854011926705339,0,0.27,3,10003
4,ppo_c4_s6,6,ppo,2.3376119357553033,8.147874933486998,0.0,8.0,51.0,1.02,51,0,-0.6829713210956785,0,0.255,4,10004
4,ppo_c4_s6,6,ppo,2.130606252896492,7.7995053863309245,0.0,6.4,58.0,1.16,58,0,-0.713828860524208,0,0.29,5,10005
4,ppo_c4_s6,6,ppo,2.179088503490603,7.77112075751485,0.0,6.800000000000001,54.0,1.08,54,0,-0.7257581635042193,0,0.27,6,10006
4,ppo_c4_s6,6,ppo,2.255505467353768,7.704103637026934,0.0,8.0,52.0,1.04,52,0,-0.6866480491219225,0,0.26,7,10007
4,ppo_c4_s6,6,ppo,2.244244208942383,8.10821519240745,0.0,7.199999999999999,52.0,1.04,52,0,-0.7120096336737793,0,0.26,8,10008
4,ppo_c4_s6,6,ppo,2.1563681797962366,7.0978814609496,0.0,5.4,55.0,1.1,55,0,-0.6451065897217569,0,0.275,9,10009
4,ppo_c4_s7,7,ppo,2.1758225518147984,7.477091013767837,0.0,6.4,54.0,1.08,54,0,-0.6448349093768247,0,0.27,0,10000
4,ppo_c4_s7,7,ppo,2.1762494523968097,7.757565160159105,0.0,8.0,55.0,1.1,55,0,-0.6905882253212621,0,0.275,1,10001
4,ppo_c4_s7,7,ppo,2.313972530252324,8.585777600554403,0.0,7.6,48.0,0.96,48,0,-0.6742357229128849,0,0.24,2,10002
